date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:39	54385/54385	---M--	200	added ('OK')	text/html	date:Fri,%2014%20May%202021%2010:27:35%20GMT	http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/main	C:/My%20Web%20Sites/influedo/posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/main.html	(from )
19:27:40	348/348	---M--	200	added ('OK')	text/plain	date:Fri,%2014%20May%202021%2010:27:35%20GMT	http://posttest-env.eba-wgz2p776.ap-northeast-2.elasticbeanstalk.com/robots.txt		(from )
19:27:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2014%20May%202021%2010:27:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/influedo/www.googletagmanager.com/gtm.15445.delayed	(from )
19:27:43	1393/1393	---M--	200	added ('OK')	text/css	etag:%229788de3c5ebab90d939b49bb39322380%22	https://infludeo-post.s3.amazonaws.com/staticfiles/css/unify-core.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/css/unify-core.css	(from )
19:27:48	140936/140936	---M--	200	added ('OK')	text/css	etag:%2214b59a2eb52aab561d0bd808a0a33f12%22	https://infludeo-post.s3.amazonaws.com/staticfiles/vendor/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/vendor/bootstrap/bootstrap.min.css	(from )
19:27:48	19785/19785	---M--	200	added ('OK')	text/css	etag:%22f8073e0422b1331e58c21393078b8883%22	https://infludeo-post.s3.amazonaws.com/staticfiles/vendor/hamburgers/hamburgers.min.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/vendor/hamburgers/hamburgers.min.css	(from )
19:27:50	4562/4562	---M--	200	added ('OK')	text/css	etag:%2248d03008558ef27460e89c39f14a6ad3%22	https://infludeo-post.s3.amazonaws.com/staticfiles/vendor/hs-megamenu/src/hs.megamenu.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/vendor/hs-megamenu/src/hs.megamenu.css	(from )
19:27:52	18420/18420	---M--	200	added ('OK')	text/css	etag:%228f6d4041ae681e12dc23e797555adb7a%22	https://infludeo-post.s3.amazonaws.com/staticfiles/css/custom.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/css/custom.css	(from )
19:27:54	30903/30903	---M--	200	added ('OK')	text/css	etag:%222cc3ab6c0c8b8b7103a3a8673ec9eb56%22	https://infludeo-post.s3.amazonaws.com/staticfiles/vendor/icon-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/vendor/icon-awesome/css/font-awesome.min.css	(from )
19:27:54	12958/12958	---M--	200	added ('OK')	text/css	etag:%22093ca662394ed698fdb5835e425d28dd%22	https://infludeo-post.s3.amazonaws.com/staticfiles/vendor/icon-line/css/simple-line-icons.css	C:/My%20Web%20Sites/influedo/infludeo-post.s3.amazonaws.com/staticfiles/vendor/icon-line/css/simple-line-icons.css	(from )
